league,sc_player_id,player_name_sc,team_name_sc,best_sb_name,best_sb_team,best_sb_id,best_dist,same_team,common_tokens,sc_in_sb,sb_in_sc,sc_tokens,sb_tokens
LaLiga 2,25713,Rafael Tresaco Blasco,Cultural y Deportiva Leonesa,Rafa Tresaco,CyD Leonesa,34606,0.19841269841269848,FALSE,1,FALSE,FALSE,rafael|tresaco|blasco,rafa|tresaco
LaLiga 2,25742,José Alejandro Suárez Suárez,UD Las Palmas,José Arnáiz,Granada,6810,0.27792207792207796,FALSE,1,FALSE,FALSE,jose|alejandro|suarez|suarez,jose|arnaiz
LaLiga 2,25764,Marcos André de Sousa Mendonça,Real Valladolid,Marcos Luna Marcos Ruiz,Almería,297531,0.28913043478260875,FALSE,1,FALSE,FALSE,marcos|andre|sousa|mendonca,marcos|luna|marcos|ruiz
LaLiga 2,25789,Salvador Ruiz Rodríguez,CD Castellon,Rafael Rodríguez Ruiz,Málaga,363575,0.21252406378264516,FALSE,2,FALSE,FALSE,salvador|ruiz|rodriguez,rafael|rodriguez|ruiz
LaLiga 2,25935,Javier Castro Urdín,Racing Santander,Javier Martón,Eibar,133558,0.17622582096266315,FALSE,1,FALSE,FALSE,javier|castro|urdin,javier|marton
LaLiga 2,26015,Victor Álvarez Rozada,UD Las Palmas,Víctor Valverde da Silva,Albacete,326217,0.2529761904761906,FALSE,1,FALSE,FALSE,victor|alvarez|rozada,victor|valverde|silva
LaLiga 2,26157,Daniel Villahermosa Martínez,FC Andorra,Dani Villahermosa,FC Andorra,41603,0.2093837535014006,TRUE,1,FALSE,FALSE,daniel|villahermosa|martinez,dani|villahermosa
LaLiga 2,28931,Agustín Medina Delgado,Albacete Balompie,Agustín Sienra,CD Castellón,48439,0.226911976911977,FALSE,1,FALSE,FALSE,agustin|medina|delgado,agustin|sienra
LaLiga 2,30863,Diego Hernández Barriuso,CD Castellon,Diego Alende,FC Andorra,34728,0.2537878787878788,FALSE,1,FALSE,FALSE,diego|hernandez|barriuso,diego|alende
LaLiga 2,30889,Juan Diego Molina Martínez,RC Deportivo de La Coruña,Juan Díaz,Cádiz,452041,0.26780626780626776,FALSE,1,FALSE,FALSE,juan|diego|molina|martinez,juan|diaz
LaLiga 2,30900,Ricardo Rodríguez Gil Carcedo,Albacete Balompie,Dani Rodríguez,Leganés,24088,0.29746115953012503,FALSE,1,FALSE,FALSE,ricardo|rodriguez|gil|carcedo,dani|rodriguez
LaLiga 2,30901,José Raúl Gutiérrez Parejo,Real Zaragoza,José Gragera,RC Deportivo La Coruña,25587,0.26554001554001566,FALSE,1,FALSE,FALSE,jose|raul|gutierrez|parejo,jose|gragera
LaLiga 2,31943,Rubén Díez Adán,Agrupación Deportiva Ceuta FC,Rubén Durán,RC Deportivo La Coruña,198020,0.19393939393939405,FALSE,1,FALSE,FALSE,ruben|diez|adan,ruben|duran
LaLiga 2,31973,José Alejandro Martín Valerón,Cordoba CF,José Arnáiz,Granada,6810,0.2820271682340649,FALSE,1,FALSE,FALSE,jose|alejandro|martin|valeron,jose|arnaiz
LaLiga 2,31991,José Luis Zalazar Martínez,Agrupación Deportiva Ceuta FC,Alex Douma Johan Lebarbier,Real Sociedad B,324436,0.2935222672064777,FALSE,0,FALSE,FALSE,jose|luis|zalazar|martinez,alex|douma|johan|lebarbier
LaLiga 2,33132,Juan Pedro Jiménez Melero,Málaga CF,Juanpe,Málaga,48744,0.2533333333333333,FALSE,0,FALSE,FALSE,juan|pedro|jimenez|melero,juanpe
LaLiga 2,34485,Francisco Jesús Crespo García,UD Las Palmas,Francisco Gracia,CyD Leonesa,434033,0.18067528735632182,FALSE,1,FALSE,FALSE,francisco|jesus|crespo|garcia,francisco|gracia
LaLiga 2,35291,Alejandro Millán Iranzo,CD Leganés,Alejandro Lizancos,Burgos,407000,0.19056964573268928,FALSE,1,FALSE,FALSE,alejandro|millan|iranzo,alejandro|lizancos
LaLiga 2,35954,Luís Henrique de Barros Lopes,CD Leganés,Luis Nlavo,Leganés,136414,0.30804597701149433,TRUE,1,FALSE,FALSE,luis|henrique|barros|lopes,luis|nlavo
LaLiga 2,41319,Juan Miguel Latasa Fernández Layos,Real Valladolid,Juanmi Latasa,Real Valladolid,39637,0.244343891402715,TRUE,1,FALSE,FALSE,juan|miguel|latasa|fernandez|layos,juanmi|latasa
LaLiga 2,41327,Xavier Sintes Egea,Cordoba CF,Xavi Sintes,Córdoba CF,39344,0.22053872053872065,TRUE,1,FALSE,FALSE,xavier|sintes|egea,xavi|sintes
